Result,arc_length
23.772,1.4877
23.852,1.4896
23.932,1.4915
24.011,1.4934
24.22,1.4953
24.569,1.4972
24.917,1.4991
25.266,1.501
25.615,1.5029
25.96,1.5048
26.322,1.5067
26.684,1.5086
27.046,1.5105
27.409,1.5124
27.555,1.5143
27.677,1.5162
27.799,1.5181
27.922,1.52
28.045,1.5219
28.169,1.5238
28.294,1.5257
28.419,1.5276
28.525,1.5295
28.595,1.5314
28.66,1.5333
28.724,1.5352
28.789,1.5371
28.854,1.539
28.919,1.5409
28.983,1.5428
29.048,1.5447
29.106,1.5466
29.115,1.5485
29.123,1.5504
29.132,1.5523
29.14,1.5542
29.153,1.5561
29.166,1.558
29.178,1.5599
29.191,1.5618
29.203,1.5637
29.2,1.5656
29.186,1.5675
29.172,1.5694
30.324,1.5713
30.512,1.5732
31.63,1.5751
31.616,1.577
31.601,1.5789
31.586,1.5808
31.544,1.5827
31.494,1.5846
31.444,1.5865
31.393,1.5884
31.342,1.5903
31.291,1.5922
31.24,1.5941
31.189,1.596
31.133,1.5979
31.051,1.5998
30.97,1.6017
30.888,1.6036
30.807,1.6055
30.739,1.6074
30.681,1.6093
30.62,1.6112
30.56,1.6131
30.499,1.615
30.476,1.6169
30.48,1.6188
30.484,1.6207
30.487,1.6226
30.491,1.6245
30.494,1.6264
30.497,1.6283
30.5,1.6302
30.501,1.6321
30.503,1.634
30.509,1.6359
30.516,1.6378
30.525,1.6397
30.536,1.6416
30.548,1.6435
30.561,1.6454
30.576,1.6473
30.592,1.6492
30.595,1.6511
30.597,1.653
30.599,1.6549
30.601,1.6568
30.606,1.6587
30.614,1.6606
30.622,1.6625
30.63,1.6644
30.638,1.6663
30.641,1.6682
30.641,1.6701
30.642,1.672
30.643,1.6739
30.644,1.6758
30.644,1.6777
30.645,1.6796
30.645,1.6815
30.647,1.6834
30.636,1.6853
30.625,1.6872
30.613,1.6891
30.602,1.691
30.591,1.6929
30.58,1.6948
30.569,1.6967
30.557,1.6986
30.543,1.7005
30.53,1.7024
30.516,1.7043
30.499,1.7062
30.485,1.7081
30.47,1.71
30.456,1.7119
30.441,1.7138
30.415,1.7157
30.382,1.7176
30.349,1.7195
30.316,1.7214
30.282,1.7233
30.249,1.7252
30.216,1.7271
30.183,1.729
30.149,1.7309
30.115,1.7328
30.079,1.7347
30.042,1.7366
30.005,1.7385
29.969,1.7404
29.933,1.7423
29.896,1.7442
29.86,1.7461
29.823,1.748
29.788,1.7499
29.754,1.7518
29.719,1.7537
29.684,1.7556
29.647,1.7575
29.617,1.7594
29.587,1.7613
29.558,1.7632
29.528,1.7651
29.497,1.767
29.466,1.7689
29.434,1.7708
29.402,1.7727
29.371,1.7746
29.339,1.7765
29.308,1.7784
29.276,1.7803
29.244,1.7822
29.219,1.7841
29.196,1.786
29.173,1.7879
29.151,1.7898
29.128,1.7917
29.105,1.7936
29.082,1.7955
29.06,1.7974
29.037,1.7993
29.015,1.8012
28.993,1.8031
28.971,1.805
28.949,1.8069
28.928,1.8088
28.915,1.8107
28.902,1.8126
28.889,1.8145
28.876,1.8164
28.863,1.8183
28.85,1.8202
28.837,1.8221
28.824,1.824
28.811,1.8259
28.798,1.8278
28.785,1.8297
28.773,1.8316
28.76,1.8335
28.751,1.8354
28.749,1.8373
28.747,1.8392
28.745,1.8411
28.743,1.843
28.741,1.8449
28.738,1.8468
28.736,1.8487
28.734,1.8506
28.729,1.8525
28.72,1.8544
28.712,1.8563
28.703,1.8582
28.695,1.8601
28.693,1.862
28.692,1.8639
28.691,1.8658
28.69,1.8677
28.689,1.8696
28.687,1.8715
28.684,1.8734
28.682,1.8753
28.68,1.8772
28.678,1.8791
28.676,1.881
28.675,1.8829
28.673,1.8848
28.674,1.8867
28.68,1.8886
28.685,1.8905
28.691,1.8924
28.697,1.8943
28.703,1.8962
28.708,1.8981
28.714,1.9
