Save,noxycon,ntemp,ndensity,norif,nsernum,ninjpres,ninjdur,nfuelt,nfueltemp,ninst,fileBaseName,date,readme,refs,oxycon,oxyconU,ambComp,ambCompU,MW,Ta,TaS,TaU,Ta_ai,Tbulk,dens,densS,densU,dens_ai,densbulk,ambP,Z,ZU,ambVelocity,ambVelocityU,ambVelTurbulence,ambVelTurbulenceU,vessGeom,injP,injPS,injPU,Tfuel,TfuelS,TfuelU,Tnozzle,TnozzleS,TnozzleU,roi,roiS,roiU,injDur,injDurS,injDurU,injMass,injMassS,injMassU,Cd,CdU,Ca,CaU,orifDiam,orifDiamU,nozGeom,nozGeomU,needlePos,needlePosU,injlag,fuelprops,liqlen,liqlenS,liqlenU,liftoff,liftoffS,liftoffU,igndly,igndlyS,igndlyU,igndlyL,igndlyLS,igndlyLU,pressCV,jetpen,flamelength,spreadAngle,mixing,velocity,combSpecies,liqVol,dropDia,soot,movie,AddFiles
-,mole fraction %,K,kg/m3,mm,-,MPa,ms,-,K,-,-,-,-,-,mole fraction %,mole fraction %,mole fraction %,mole fraction %,-,K,K,K,K,K,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,MPa,-,-,m/s,m/s,m/s,m/s,-,MPa,MPa,MPa,K,K,K,K,K,K,mg/ms,mg/ms,mg/ms,ms,ms,ms,mg,mg,mg,-,-,-,-,mm,mm,-,-,mm,mm,ms,-,mm,mm,mm,mm,mm,mm,ms,ms,ms,ms,ms,ms,MPa,mm,mm,degrees,F/A ratio by number,m/s,-,liquid volume fraction,mm,-,-,-
-,vol%,K,kg/m<sup>3</sup>,mm,-,MPa,ms,-,K,-,-,-,-,-,%,%,%,%,-,K,K,K,K,K,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,MPa,-,-,m/s,m/s,m/s,m/s,-,MPa,MPa,MPa,K,K,K,K,K,K,mg/ms,mg/ms,mg/ms,ms,ms,ms,mg,mg,mg,-,-,-,-,mm,mm,-,-,mm,mm,ms,-,mm,mm,mm,mm,mm,mm,ms,ms,ms,ms,ms,ms,MPa,mm,mm,degrees,F/A ratio by number,m/s,-,liq vol fraction,mm,-,-,-
694,15,1000,22.8,0.090ks-a,A210370,150,>4,JP,363,Sandia,jildnJPL4,19-Jun-08,<a href= '/cvdata/assets/datafiles/readme/jildnJPL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00064' target='_blank'>SAEIntJFuelsLubr5(2)2012-01-0678</a>,15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,998.7,5.4,&plusmn;0.8,1001.4,962.6,22.71,0.04,&plusmn;0.01,22.9,23.56,6.55,1.016,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,154.2;<a href= '/cvdata/assets/datafiles/fuelpress/jildnJPL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,1.2,&plusmn;0.6,373,-,&plusmn;30,-,-,-,-,-,-,5.5,-,-,19.7,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.091,0.001,injector SN 210370; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>Spray A</a>,-,-,-,0.02,fuel property <a href= '/diesel-spray-combustion/sandia-cv/fuels/' target='_blank'>table</a>,-,-,-,21.0;<a href= '/cvdata/assets/datafiles/lift/jildnJPL4.png' target='_blank'>steady OH chemiluminescence</a>,0.98,0.37,0.49,0.03,0.02,-,-,-,<a href= '/cvdata/assets/datafiles/press/jildnJPL4-press.txt' target='_blank'>PvsT</a>,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jildnJPL4.m1v' target='_blank'>movie</a> ,-
695,15,1000,22.8,0.090ks-a,A210370,150,>4,JS,363,Sandia,jildnJSL4,14-May-08,<a href= '/cvdata/assets/datafiles/readme/jildnJSL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00064' target='_blank'>SAEIntJFuelsLubr5(2)2012-01-0678</a>,15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,990.4,5.9,&plusmn;1.2,993.3,955,22.78,0.04,&plusmn;0.01,22.98,23.62,6.51,1.016,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,153.9;<a href= '/cvdata/assets/datafiles/fuelpress/jildnJSL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,1.7,&plusmn;0.7,373,-,&plusmn;30,-,-,-,-,-,-,6.09,-,-,19.18,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.091,0.001,injector SN 210370; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>Spray A</a>,-,-,-,0.02,fuel property <a href= '/diesel-spray-combustion/sandia-cv/fuels/' target='_blank'>table</a>,-,-,-,17.7;<a href= '/cvdata/assets/datafiles/lift/jildnJSL4.png' target='_blank'>steady OH chemiluminescence</a>,0.56,0.36,0.44,0.07,0.05,-,-,-,<a href= '/cvdata/assets/datafiles/press/jildnJSL4-press.txt' target='_blank'>PvsT</a>,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jildnJSL4.m1v' target='_blank'>movie</a> ,-
696,15,1000,22.8,0.090ks-a,A210370,150,>4,JW,363,Sandia,jildnJWL4,25-Mar-08,<a href= '/cvdata/assets/datafiles/readme/jildnJWL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00064' target='_blank'>SAEIntJFuelsLubr5(2)2012-01-0678</a>,15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,997.5,6.6,&plusmn;0.4,1000.3,961.6,22.79,0.05,&plusmn;0.00,22.99,23.64,6.56,1.016,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,149.1;<a href= '/cvdata/assets/datafiles/fuelpress/jildnJWL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,8.5,&plusmn;0.9,373,-,&plusmn;30,-,-,-,-,-,-,5.95,-,-,19.6,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.091,0.001,injector SN 210370; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>Spray A</a>,-,-,-,0.02,fuel property <a href= '/diesel-spray-combustion/sandia-cv/fuels/' target='_blank'>table</a>,-,-,-,18.9;<a href= '/cvdata/assets/datafiles/lift/jildnJWL4.png' target='_blank'>steady OH chemiluminescence</a>,0.99,0.33,0.45,0.08,0.03,-,-,-,<a href= '/cvdata/assets/datafiles/press/jildnJWL4-press.txt' target='_blank'>PvsT</a>,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jildnJWL4.m1v' target='_blank'>movie</a> ,-
697,15,900,22.8,0.090ks-a,A210370,150,>4,D2,363,Sandia,jkldnD2L4,14-Dec-07,<a href= '/cvdata/assets/datafiles/readme/jkldnD2L4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00064' target='_blank'>SAEIntJFuelsLubr5(2)2012-01-0678</a>,15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,900.5,3.9,&plusmn;1.0,903.5,873.3,22.79,0.06,&plusmn;0.01,23.03,23.5,5.92,1.015,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,151.8;<a href= '/cvdata/assets/datafiles/fuelpress/jkldnD2L4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,4.3,&plusmn;1.5,373,-,&plusmn;30,-,-,-,-,-,-,6,-,-,19.7,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.091,0.001,injector SN 210370; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>Spray A</a>,-,-,-,0.02,fuel property <a href= '/diesel-spray-combustion/sandia-cv/fuels/' target='_blank'>table</a>,-,-,-,27.0;<a href= '/cvdata/assets/datafiles/lift/jkldnD2L4.png' target='_blank'>steady OH chemiluminescence</a>,1.66,0.54,0.77,0.09,0.07,-,-,-,<a href= '/cvdata/assets/datafiles/press/jkldnD2L4-press.txt' target='_blank'>PvsT</a>,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jkldnD2L4.mp4' target='_blank'>movie</a> ,-
698,15,900,22.8,0.090ks-a,A210370,150,>4,JC,363,Sandia,jkldnJCL4,17-Jan-08,<a href= '/cvdata/assets/datafiles/readme/jkldnJCL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00064' target='_blank'>SAEIntJFuelsLubr5(2)2012-01-0678</a>,15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,898.7,2.5,&plusmn;0.5,901.8,871.6,22.85,0.04,&plusmn;0.01,23.09,23.56,5.93,1.015,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,150.2;<a href= '/cvdata/assets/datafiles/fuelpress/jkldnJCL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,2.8,&plusmn;0.9,373,-,&plusmn;30,-,-,-,-,-,-,6.04,-,-,19.6,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.091,0.001,injector SN 210370; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>Spray A</a>,-,-,-,0.02,fuel property <a href= '/diesel-spray-combustion/sandia-cv/fuels/' target='_blank'>table</a>,-,-,-,28.1;<a href= '/cvdata/assets/datafiles/lift/jkldnJCL4.png' target='_blank'>steady OH chemiluminescence</a>,1.14,0.68,0.79,0.06,0.04,-,-,-,<a href= '/cvdata/assets/datafiles/press/jkldnJCL4-press.txt' target='_blank'>PvsT</a>,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jkldnJCL4.mp4' target='_blank'>movie</a> ,-
699,15,900,22.8,0.090ks-a,A210370,150,>4,JP,363,Sandia,jkldnJPL4,12-Jun-08,<a href= '/cvdata/assets/datafiles/readme/jkldnJPL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00064' target='_blank'>SAEIntJFuelsLubr5(2)2012-01-0678</a>,15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,911,4.9,&plusmn;0.6,911,883.2,22.7,0.06,&plusmn;0.01,22.7,23.41,5.97,1.015,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,152.1;<a href= '/cvdata/assets/datafiles/fuelpress/jkldnJPL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,2.2,&plusmn;0.7,373,-,&plusmn;30,-,-,-,-,-,-,5.5,-,-,19.7,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.091,0.001,injector SN 210370; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>Spray A</a>,-,-,-,0.02,fuel property <a href= '/diesel-spray-combustion/sandia-cv/fuels/' target='_blank'>table</a>,-,-,-,30.7;<a href= '/cvdata/assets/datafiles/lift/jkldnJPL4.png' target='_blank'>steady OH chemiluminescence</a>,1.63,0.82,1.37,0.21,0.11,-,-,-,<a href= '/cvdata/assets/datafiles/press/jkldnJPL4-press.txt' target='_blank'>PvsT</a>,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jkldnJPL4.mp4' target='_blank'>movie</a> ,-
700,15,900,22.8,0.090ks-a,A210370,150,>4,JS,363,Sandia,jkldnJSL4,14-May-08,<a href= '/cvdata/assets/datafiles/readme/jkldnJSL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00064' target='_blank'>SAEIntJFuelsLubr5(2)2012-01-0678</a>,15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,901,6.7,&plusmn;1.9,904,873.9,22.73,0.02,&plusmn;0.00,22.97,23.44,5.91,1.015,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,154.6;<a href= '/cvdata/assets/datafiles/fuelpress/jkldnJSL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,2.6,&plusmn;1.1,373,-,&plusmn;30,-,-,-,-,-,-,6.09,-,-,19.18,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.091,0.001,injector SN 210370; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>Spray A</a>,-,-,-,0.02,fuel property <a href= '/diesel-spray-combustion/sandia-cv/fuels/' target='_blank'>table</a>,-,-,-,23.1;<a href= '/cvdata/assets/datafiles/lift/jkldnJSL4.png' target='_blank'>steady OH chemiluminescence</a>,1.09,0.82,0.57,0.06,0.05,-,-,-,<a href= '/cvdata/assets/datafiles/press/jkldnJSL4-press.txt' target='_blank'>PvsT</a>,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jkldnJSL4.mp4' target='_blank'>movie</a> ,-
701,15,900,22.8,0.090ks-a,A210370,150,>4,JW,363,Sandia,jkldnJWL4,25-Mar-08,<a href= '/cvdata/assets/datafiles/readme/jkldnJWL4-notes.txt' target='_blank'>readme</a>,<a href= '/references/?table_filter=2019-00064' target='_blank'>SAEIntJFuelsLubr5(2)2012-01-0678</a>,15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,899.6,6.1,&plusmn;0.4,902.6,872.6,22.8,0.05,&plusmn;0.00,23.04,23.5,5.92,1.015,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,150.3;<a href= '/cvdata/assets/datafiles/fuelpress/jkldnJWL4-fuelP.txt' target='_blank'>fuel pressure vs time</a>,7.8,&plusmn;0.9,373,-,&plusmn;30,-,-,-,-,-,-,5.95,-,-,19.6,-,-,0.089; <a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/2007-to-present/' target='_blank'>SprayA nozzle coefficients</a>,&plusmn;0.01,-,-,0.091,0.001,injector SN 210370; <a href= '/diesel-spray-combustion/target-condition/spray-a-nozzle-geometry/' target='_blank'>Spray A</a>,-,-,-,0.02,fuel property <a href= '/diesel-spray-combustion/sandia-cv/fuels/' target='_blank'>table</a>,-,-,-,25.9;<a href= '/cvdata/assets/datafiles/lift/jkldnJWL4.png' target='_blank'>steady OH chemiluminescence</a>,1.43,0.5,0.68,0.08,0.03,-,-,-,<a href= '/cvdata/assets/datafiles/press/jkldnJWL4-press.txt' target='_blank'>PvsT</a>,-,-,-,-,-,-,-,-,-,<a href= '/cvdata/assets/movies/jkldnJWL4.mp4' target='_blank'>movie</a> ,-
702,15,750,22.8,0.090ks-a,A210370,150,>4,G15,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,748,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.5,2.511312384,-,-,-,-,1.798,106,-,-,-,-,-,-,-,-,-,-,-,-,-
703,15,800,22.8,0.090ks-a,A210370,150,>4,G15,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,802.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.46,0.770123072,-,-,-,-,0.745,21,-,-,-,-,-,-,-,-,-,-,-,-,-
704,15,850,22.8,0.090ks-a,A210370,150,>4,G15,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,851.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.04,0.461538462,-,-,-,-,0.458,10,-,-,-,-,-,-,-,-,-,-,-,-,-
705,15,900,22.8,0.090ks-a,A210370,150,>4,G15,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.85,1.790031725,-,-,-,-,0.312,33,-,-,-,-,-,-,-,-,-,-,-,-,-
706,15,1000,22.8,0.090ks-a,A210370,150,>4,G15,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,1010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.68,0.585,-,-,-,-,0.2,10,-,-,-,-,-,-,-,-,-,-,-,-,-
707,15,1100,22.8,0.090ks-a,A210370,150,>4,G15,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,1102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.42,1.554378895,-,-,-,-,0.166,26,-,-,-,-,-,-,-,-,-,-,-,-,-
708,15,1200,22.8,0.090ks-a,A210370,150,>4,G15,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,1202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.48,2.02974704,-,-,-,-,0.108,29,-,-,-,-,-,-,-,-,-,-,-,-,-
709,15,750,22.8,0.090ks-a,A210370,150,>4,G33,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,757.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.8,3.4,-,-,-,-,1.437,0,-,-,-,-,-,-,-,-,-,-,-,-,-
710,15,800,22.8,0.090ks-a,A210370,150,>4,G33,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,809.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.2,1.524307351,-,-,-,-,0.627,35.11884584,-,-,-,-,-,-,-,-,-,-,-,-,-
711,15,850,22.8,0.090ks-a,A210370,150,>4,G33,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,851.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.62,1.604347826,-,-,-,-,0.46,30,-,-,-,-,-,-,-,-,-,-,-,-,-
712,15,900,22.8,0.090ks-a,A210370,150,>4,G33,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,907.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.32,1.407519183,-,-,-,-,0.315,23.09401077,-,-,-,-,-,-,-,-,-,-,-,-,-
713,15,1000,22.8,0.090ks-a,A210370,150,>4,G33,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,1004.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.04,1.671343301,-,-,-,-,0.212,28.28427125,-,-,-,-,-,-,-,-,-,-,-,-,-
714,15,1100,22.8,0.090ks-a,A210370,150,>4,G33,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,1102.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.24,1.10418239,-,-,-,-,0.16,17.32050808,-,-,-,-,-,-,-,-,-,-,-,-,-
715,15,1200,22.8,0.090ks-a,A210370,150,>4,G33,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,1199.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.1,0.7,-,-,-,-,0.106,0,-,-,-,-,-,-,-,-,-,-,-,-,-
716,15,750,22.8,0.090ks-a,A210370,150,>4,G50,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,751.7166667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.58,4.5,-,-,-,-,1.325,196.1377067,-,-,-,-,-,-,-,-,-,-,-,-,-
717,15,800,22.8,0.090ks-a,A210370,150,>4,G50,363,Sandia,-,16-Apr-12,-,"<a href='/references/?table_filter=2019-00166' target='_blank'>Manin, 2014</a>",15,&plusmn;0.01,O2 = 15.00; N2 = 75.15; CO2 = 6.22; H2O = 3.62;,-,29.24,800.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/combustion-vessel-geometry/' target='_blank'>Vesssel Geometry</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.68,3.745326039,-,-,-,-,0.804,92.08691547,-,-,-,-,-,-,-,-,-,-,-,-,-
