oxycon,Ta,dens,injP,orifDiam,liftoff
21.0,800.0,14.8,141.5,0.18,77.96
21.0,851.5,14.8,144.0,0.18,49.67
21.0,901.5,14.79,142.3,0.18,35.34
21.0,950.8,14.81,144.4,0.18,27.65
21.0,1003.0,14.8,143.4,0.18,21.7
21.0,1100.5,14.79,142.0,0.18,15.29
21.0,1199.3,14.79,144.8,0.18,10.7
21.0,1299.7,14.8,144.3,0.18,8.24
21.0,1000.0,30.01,146.7,0.18,12.19
21.0,901.6,29.96,145.5,0.18,20.13
21.0,853.0,29.91,145.5,0.18,28.11
21.0,1096.6,30.02,147.0,0.18,7.94
21.0,1200.4,30.02,150.1,0.18,6.28
21.0,800.8,30.02,144.6,0.18,42.08
21.0,1061.1,18.79,71.2,0.18,10.96
21.0,972.3,24.26,100.1,0.18,15.56
15.0,853.4,14.79,143.1,0.18,61.92
15.0,903.9,14.79,142.4,0.18,45.02
15.0,1002.2,14.79,144.1,0.18,27.46
15.0,1101.3,14.8,143.2,0.18,18.9
15.0,1200.7,14.8,143.1,0.18,13.31
15.0,1301.6,14.8,144.0,0.18,9.9
15.0,1004.9,7.26,140.3,0.18,46.46
15.0,1000.0,30.02,146.6,0.18,15.83
15.0,972.4,24.27,148.4,0.18,21.19
21.0,952.4,7.29,142.0,0.18,79.7
21.0,1001.1,7.29,139.8,0.18,57.42
21.0,1051.8,7.26,141.0,0.18,42.15
21.0,1103.2,7.26,140.9,0.18,33.77
21.0,1198.4,7.27,141.4,0.18,21.15
21.0,800.7,14.8,142.6,0.18,66.64
21.0,901.4,14.8,142.0,0.18,43.15
21.0,952.8,14.78,144.7,0.18,34.02
21.0,1002.5,14.79,143.3,0.18,26.61
21.0,1100.4,14.8,142.8,0.18,19.18
21.0,1200.1,14.8,145.1,0.18,12.61
21.0,1301.5,14.79,144.9,0.18,9.66
21.0,801.3,29.98,142.7,0.18,28.54
21.0,850.1,30.01,146.8,0.18,23.39
21.0,901.3,29.96,147.6,0.18,18.71
21.0,999.5,30.0,146.5,0.18,13.7
21.0,1099.5,29.98,149.0,0.18,9.88
21.0,1201.7,29.95,148.7,0.18,7.51
21.0,1060.1,18.8,70.2,0.18,13.68
21.0,970.7,24.28,97.8,0.18,17.84
15.0,853.0,14.79,142.4,0.18,75.0
15.0,904.1,14.78,142.2,0.18,60.57
15.0,1001.9,14.79,145.7,0.18,37.59
15.0,1100.7,14.79,142.5,0.18,25.04
15.0,1200.7,14.79,144.3,0.18,17.75
15.0,1300.7,14.81,143.9,0.18,11.72
15.0,1001.8,7.26,142.0,0.18,79.0
15.0,1000.8,29.99,147.6,0.18,18.38
15.0,971.6,24.28,144.5,0.18,25.75
21.0,1198.1,7.27,140.5,0.18,20.51
21.0,1099.1,7.27,139.7,0.18,27.48
21.0,1050.7,7.27,140.4,0.18,37.71
21.0,999.4,7.27,140.1,0.18,52.3
21.0,950.1,7.27,140.4,0.18,67.47
